title,storyline,description,directors,writers,cast,tagline,genres
The Hour of the Pig,"In medieval France, young lawyer Richard Courtois leaves Paris for the simpler life in the country. However, he is soon drawn into amorous and political intrigues. At the same time, he is pushed to defend a pig, owned by the myste...","In medieval France, young lawyer Richard Courtois leaves Paris for the simpler life in the country. However, he is soon drawn into amorous and political intrigues. At the same time, he is pushed to defend a pig, owned by the myste...",Leslie Megahey,Leslie Megahey,"['Colin Firth (Unknown Role)', 'Amina Annabi (Unknown Role)', 'Jim Carter (Unknown Role)', 'Donald Pleasence (Unknown Role)', 'Ian Holm (Unknown Role)']",Tagline not available,Drama|Mystery
La scorta,"A dedicated, tightly-knit group of bodyguards take on additional duties while safeguarding an honest judge designated to investigate official corruption in Sicily.","A dedicated, tightly-knit group of bodyguards take on additional duties while safeguarding an honest judge designated to investigate official corruption in Sicily.",Ricky Tognazzi,"Graziano Diana, Simona Izzo, Stefano Sudriè","['Carlo Cecchi (Unknown Role)', 'Enrico Lo Verso (Unknown Role)', 'Claudio Amendola (Unknown Role)', 'Ricky Memphis (Unknown Role)', 'Tony Sperandeo (Unknown Role)']",Tagline not available,Thriller
The Celluloid Closet,A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film.,A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film.,"Rob Epstein, Jeffrey Friedman","Vito Russo, Rob Epstein, Jeffrey Friedman","['Lily Tomlin (Unknown Role)', 'Tony Curtis (Unknown Role)', 'Susie Bright (Unknown Role)', 'Arthur Laurents (Unknown Role)', 'Armistead Maupin (Unknown Role)']",Tagline not available,Documentary
Cafe au Lait,Getting bullied is a daily ritual for Sam. On this particular day grabbing a coffee creates a connection with an unexpected hero. This project was created in 2014 as a part of OutSet: The Young Filmmakers Project from Outfest and ...,Getting bullied is a daily ritual for Sam. On this particular day grabbing a coffee creates a connection with an unexpected hero. This project was created in 2014 as a part of OutSet: The Young Filmmakers Project from Outfest and ...,Brandy Silva,Leiana Valenzuela,"['Zack Cosby (Unknown Role)', 'Angie Téodora Dick (Unknown Role)', 'Joseph Santos (Unknown Role)', 'Kyla Schoer (Unknown Role)']",Tagline not available,Comedy
Caro Diario (Dear Diary),"A journey from the first to the last day of school in a fifth grade of elementary school, told through the emotions and words reported in a diary. What does it mean to grow up for a child? What does the future hold for them? What ...","A journey from the first to the last day of school in a fifth grade of elementary school, told through the emotions and words reported in a diary. What does it mean to grow up for a child? What does the future hold for them? What ...",Sebastiano Rizzo,Di Blasio Piero,"['Giulietta Rebeggiani (Unknown Role)', 'Riccardo Antonaci (Unknown Role)']",Tagline not available,Comedy|Drama
The Brady Bunch Movie,"The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.","The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",Betty Thomas,"Sherwood Schwartz, Laurice Elehwany, Rick Copp","['Shelley Long (Unknown Role)', 'Gary Cole (Unknown Role)', 'Christine Taylor (Unknown Role)', 'Christopher Daniel Barnes (Unknown Role)', 'Jennifer Elise Cox (Unknown Role)']",Tagline not available,Comedy
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Thomas Harris, Ted Tally","['Jodie Foster (Unknown Role)', 'Anthony Hopkins (Unknown Role)', 'Scott Glenn (Unknown Role)', 'Ted Levine (Unknown Role)', 'Anthony Heald (Unknown Role)']",Tagline not available,Drama|Thriller
Guillermo del Toro&apos;s Pinocchio,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Guillermo del Toro, Mark Gustafson","Guillermo del Toro, Patrick McHale, Carlo Collodi","['Ewan McGregor (Unknown Role)', 'David Bradley (Unknown Role)', 'Gregory Mann (Unknown Role)', 'Burn Gorman (Unknown Role)', 'Ron Perlman (Unknown Role)']",Tagline not available,Animation|Children's
Okno v Parizh,"Nikolay (played by Sergei Dontsov) has been fired from his job as a music teacher and has to live in the gym until he finds a place to stay. Finally, he gets a communal room in the apartment of Gorokhov (Viktor Mikhalkov (I)). The...","Nikolay (played by Sergei Dontsov) has been fired from his job as a music teacher and has to live in the gym until he finds a place to stay. Finally, he gets a communal room in the apartment of Gorokhov (Viktor Mikhalkov (I)). The...","Yuri Mamin, Arkadiy Tigay","Vyacheslav Leykin, Yuri Mamin, Feliks Mironer","['Sergey Dreyden (Unknown Role)', 'Agnès Soral (Unknown Role)', 'Viktor Mikhailov (Unknown Role)', 'Nina Usatova (Unknown Role)', 'Kira Kreylis-Petrova (Unknown Role)']",Tagline not available,Comedy
The Wild Bunch,"An aging group of outlaws in 1913 Texas look for one last big score, selling stolen Army rifles to a rogue Mexican general during that country's revolution, as the traditional American West is disappearing around them.","An aging group of outlaws in 1913 Texas look for one last big score, selling stolen Army rifles to a rogue Mexican general during that country's revolution, as the traditional American West is disappearing around them.",Sam Peckinpah,"Walon Green, Sam Peckinpah, Roy N. Sickner","['William Holden (Unknown Role)', 'Ernest Borgnine (Unknown Role)', 'Robert Ryan (Unknown Role)', ""Edmond O'Brien (Unknown Role)"", 'Warren Oates (Unknown Role)']",Tagline not available,Western
Wu Kui,"Emerging from the Chinese film renaissance of the 1990s (Raise the Red Lantern, Farewell My Concubine) this haunting folk tale set in rural China in the 1920s tells the story of a young woman forces to grieve the death of a man sh...","Emerging from the Chinese film renaissance of the 1990s (Raise the Red Lantern, Farewell My Concubine) this haunting folk tale set in rural China in the 1920s tells the story of a young woman forces to grieve the death of a man sh...",Jianxin Huang,"Zhengguang Yang, Jia Pingau","['Shih Chang (Unknown Role)', 'Lan Wang (Unknown Role)', 'Yumei Wang (Unknown Role)', 'Mingjun Kao (Unknown Role)', 'Fuli Wang (Unknown Role)']",Tagline not available,Drama
A Great Day in Harlem,"The documentary compiles interviews of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine.","The documentary compiles interviews of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine.",Jean Bach,"Jean Bach, Susan Peehl, Matthew Seig","['Dizzy Gillespie (Unknown Role)', 'Milt Hinton (Unknown Role)', 'Marian McPartland (Unknown Role)', 'Art Blakey (Unknown Role)', 'Quincy Jones (Unknown Role)']",Tagline not available,Documentary
Bye Bye Love,"A story about the family breakup of three divorced men. The film presented their perspective and it reveals their relationship with their children, ex-wives, girl friends, male friendships, and their identities as divorced men.","A story about the family breakup of three divorced men. The film presented their perspective and it reveals their relationship with their children, ex-wives, girl friends, male friendships, and their identities as divorced men.",Sam Weisman,"Gary David Goldberg, Brad Hall","['Matthew Modine (Unknown Role)', 'Randy Quaid (Unknown Role)', 'Paul Reiser (Unknown Role)', 'Janeane Garofalo (Unknown Role)', 'Amy Brenneman (Unknown Role)']",Tagline not available,Comedy
American Criminals,"Chicago 1924. A prosperous city Thriving in the midst of racial and political turmoil. Two precocious wealthy teenage scholars, Nathan Leopold and Richard Loeb, kidnap and murder a fourteen-year-old boy, Bobby Franks.","Chicago 1924. A prosperous city Thriving in the midst of racial and political turmoil. Two precocious wealthy teenage scholars, Nathan Leopold and Richard Loeb, kidnap and murder a fourteen-year-old boy, Bobby Franks.",Aaron Warr,Aaron Warr,"['Samantha Hupp (Unknown Role)', 'Robert Donavan (Unknown Role)', 'Randy Jones (Unknown Role)', 'Brian Parker (Unknown Role)', 'Michael Oilar (Unknown Role)']",Tagline not available,Documentary
Mid-Century Modern,"After an unexpected death, three best friends--gay gentlemen of a certain age--decide to spend their golden years living together in Palm Springs, where the wealthiest one lives with his mother.","After an unexpected death, three best friends--gay gentlemen of a certain age--decide to spend their golden years living together in Palm Springs, where the wealthiest one lives with his mother.",Director not available,"David Kohan, Max Mutchnick","['Nathan Lane (Unknown Role)', 'Matt Bomer (Unknown Role)', 'Nathan Lee Graham (Unknown Role)', 'Linda Lavin (Unknown Role)', 'Pamela Adlon (Unknown Role)']",Tagline not available,Drama
The Pallbearer,"A young man's life is thrown into a loop when he is asked to be a pallbearer for the funeral of a classmate he doesn't remember, and his old high school crush temporarily returns to town.","A young man's life is thrown into a loop when he is asked to be a pallbearer for the funeral of a classmate he doesn't remember, and his old high school crush temporarily returns to town.",Matt Reeves,"Jason Katims, Matt Reeves","['David Schwimmer (Unknown Role)', 'Gwyneth Paltrow (Unknown Role)', 'Michael Rapaport (Unknown Role)', 'Toni Collette (Unknown Role)', 'Carol Kane (Unknown Role)']",Tagline not available,Comedy
National Lampoon&apos;s: Loaded Weapon 1,"In this Lethal Weapon (1987) spoof, two mismatched LA cops investigate a case involving cocaine-laced girl scout cookies.","In this Lethal Weapon (1987) spoof, two mismatched LA cops investigate a case involving cocaine-laced girl scout cookies.",Gene Quintano,"Don Holley, Tori Tellem, Gene Quintano","['Emilio Estevez (Unknown Role)', 'Samuel L. Jackson (Unknown Role)', 'Jon Lovitz (Unknown Role)', 'Tim Curry (Unknown Role)', 'Kathy Ireland (Unknown Role)']",Tagline not available,Drama|Thriller
Pane e cioccolata,Italian immigrant Nino steadfastly tries to become a member of Swiss Society no matter how awful his situation becomes.,Italian immigrant Nino steadfastly tries to become a member of Swiss Society no matter how awful his situation becomes.,Franco Brusati,"Franco Brusati, Jaja Fiastri, Nino Manfredi","['Nino Manfredi (Unknown Role)', 'Anna Karina (Unknown Role)', 'Paolo Turco (Unknown Role)', ""Ugo D'Alessio (Unknown Role)"", 'Tano Cimarosa (Unknown Role)']",Tagline not available,Drama
The AristoCats,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",Wolfgang Reitherman,"Larry Clemmons, Vance Gerry, Ken Anderson","['Phil Harris (Unknown Role)', 'Eva Gabor (Unknown Role)', 'Sterling Holloway (Unknown Role)', 'Scatman Crothers (Unknown Role)', 'Paul Winchell (Unknown Role)']",Tagline not available,Animation|Children's
Eddington,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.","In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",Ari Aster,Ari Aster,"['Joaquin Phoenix (Unknown Role)', ""Deirdre O'Connell (Unknown Role)"", 'Emma Stone (Unknown Role)', 'Micheal Ward (Unknown Role)', 'Pedro Pascal (Unknown Role)']",Tagline not available,Comedy
Hands of Stone,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,Jonathan Jakubowicz,Jonathan Jakubowicz,"['Edgar Ramírez (Unknown Role)', 'Usher (Unknown Role)', 'Robert De Niro (Unknown Role)', 'Rubén Blades (Unknown Role)', 'Ana de Armas (Unknown Role)']",Tagline not available,Drama
Ma saison préférée,"Old woman Berthe leaves her house to live in her daugter Emilie's one. Emilie and her brother Antoine have fallen out three years ago and have not seen each other since, but Emilie invites him for Christmas. Memories will come up,...","Old woman Berthe leaves her house to live in her daugter Emilie's one. Emilie and her brother Antoine have fallen out three years ago and have not seen each other since, but Emilie invites him for Christmas. Memories will come up,...",André Téchiné,"Pascal Bonitzer, André Téchiné","['Catherine Deneuve (Unknown Role)', 'Daniel Auteuil (Unknown Role)', 'Marthe Villalonga (Unknown Role)', 'Jean-Pierre Bouvier (Unknown Role)', 'Chiara Mastroianni (Unknown Role)']",Tagline not available,Drama
